"Gene Symbol","miRNA","Validated"
"RPS3","hsa-miR-622","0"
"COL1A2","hsa-miR-98","0"
"FN1","hsa-miR-27b","0"
"TPT1","hsa-miR-150","0"
"EEF1A1","hsa-miR-152","0"
"RPLP1","hsa-miR-23a","0"
"EIF3CL","hsa-miR-613","0"
"COL1A1","hsa-miR-328","0"
"HSP90AB1","hsa-miR-221","0"
"RPS17","hsa-miR-23a","0"
"RPL19","hsa-miR-520g","0"
"COL1A2","hsa-miR-569","0"
"CTSB","hsa-miR-661","0"
"FTH1","hsa-miR-146a","0"
"RPS3","hsa-miR-603","0"
"RPLP0","hsa-miR-892b","0"
"TPT1","hsa-miR-141","0"
"RPS23","hsa-miR-100","0"
"RPS3","hsa-miR-384","0"
"LDHB","hsa-miR-130a","0"
"RPL19","hsa-miR-520h","0"
"COL1A1","hsa-let-7g","0"
"EEF1A1","hsa-miR-33b","0"
"PSAP","hsa-miR-19a","0"
"EEF2","hsa-miR-632","0"
"EEF1A1","hsa-miR-484","1"
"PSAP","hsa-miR-181c","0"
"ACTB","hsa-miR-484","1"
"RPS4X","hsa-miR-622","0"
"RPLP0","hsa-miR-484","1"
"TUBB","hsa-miR-659","0"
"CTSB","hsa-miR-182","0"
"RPS23","hsa-miR-99a","0"
"PSAP","hsa-miR-148b","0"
"B2M","hsa-miR-22","0"
"RPS4X","hsa-miR-31","0"
"FN1","hsa-miR-559","0"
"RPL35","hsa-miR-133b","0"
"RPS5","hsa-miR-99b","0"
"HSP90AB1","hsa-miR-214","0"
"RPS4X","hsa-miR-146a","0"
"COL1A2","hsa-miR-29c","1"
"RPS6","hsa-miR-215","0"
"LDHB","hsa-miR-603","0"
"TUBA1B","hsa-miR-122","0"
"RPL11","hsa-miR-143","0"
"EEF1A1","hsa-miR-148b","0"
"FN1","hsa-miR-802","0"
"COL1A1","hsa-miR-15b","0"
"FTH1","hsa-miR-200c","0"
"FTH1","hsa-miR-451","0"
"FTH1","hsa-miR-659","0"
"FN1","hsa-miR-34b","0"
"LDHB","hsa-miR-23a","0"
"CTSB","hsa-miR-559","0"
"EEF2","hsa-miR-484","1"
"POU5F1","hsa-miR-618","0"
"MKRN1","hsa-miR-206","0"
"RPS3","hsa-miR-632","0"
"COL1A2","hsa-miR-26b","0"
"RPS6","hsa-miR-433","0"
"CTSB","hsa-miR-892b","0"
"UBA52","hsa-miR-320a","1"
"RPL8","hsa-miR-34a","0"
"COL1A2","hsa-miR-27b","0"
"RPS6","hsa-miR-212","0"
"TPT1","hsa-let-7i","0"
"COL1A2","hsa-let-7i","0"
"HSP90AB1","hsa-miR-559","0"
"HSP90AB1","hsa-miR-625","0"
"TUBB","hsa-miR-326","0"
"CCT3","hsa-miR-133b","0"
"COL1A2","hsa-miR-32","0"
"RPS4X","hsa-miR-320a","1"
"RPS4X","hsa-miR-34b","0"
"COL1A2","hsa-miR-29a","0"
"PSAP","hsa-miR-152","0"
"TUBB","hsa-miR-107","1"
"COL1A2","hsa-miR-182","0"
"TUBB","hsa-miR-935","1"
"RPL10A","hsa-miR-223","0"
"RPS6","hsa-let-7i","0"
"FTH1","hsa-miR-155","0"
"RPL14","hsa-miR-346","0"
"RPL8","hsa-miR-152","0"
"TUBB","hsa-miR-429","0"
"RPS24","hsa-miR-802","0"
"BSG","hsa-miR-146a","0"
"COL1A2","hsa-miR-224","0"
"RPS6","hsa-miR-10a","0"
"TUBA1B","hsa-miR-132","0"
"FN1","hsa-miR-1262","0"
"RPS4X","hsa-miR-100","0"
"RPS4X","hsa-miR-421","0"
"FN1","hsa-miR-618","0"
"RPS6","hsa-miR-758","0"
"RPL11","hsa-miR-32","0"
"RPL31","hsa-miR-148a","0"
"FTH1","hsa-miR-19a","0"
"RPS6","hsa-miR-577","0"
"TUBB","hsa-miR-200c","0"
"RPS4X","hsa-miR-638","0"
"TUBB","hsa-miR-421","0"
"FTH1","hsa-miR-183","0"
"RPS4X","hsa-miR-596","0"
"LDHB","hsa-miR-760","0"
"BSG","hsa-miR-940","0"
"ITM2C","hsa-miR-765","0"
"COL1A2","hsa-miR-25","0"
"SLC2A3","hsa-miR-632","0"
"RPS6","hsa-miR-145","0"
"RPS5","hsa-miR-198","0"
"TUBA1B","hsa-miR-320a","1"
"HSP90AB1","hsa-miR-484","1"
"HNRNPA2B1","hsa-miR-186","0"
"COL1A2","hsa-miR-30d","0"
"LDHB","hsa-miR-146a","0"
"TUBA1B","hsa-miR-29a","0"
"FN1","hsa-miR-206","0"
"BSG","hsa-miR-296","0"
"RPL26","hsa-miR-197","0"
"RPS4X","hsa-miR-224","0"
"NCL","hsa-miR-605","0"
"RPS5","hsa-miR-100","0"
"BSG","hsa-miR-662","0"
"BSG","hsa-miR-631","0"
"RPS4X","hsa-miR-10a","0"
"RPS4X","hsa-miR-301b","0"
"TUBA1B","hsa-miR-641","0"
"RPS14","hsa-miR-448","0"
"TUBB","hsa-miR-181c","0"
"LDHB","hsa-miR-375","1"
"COL1A2","hsa-miR-192","0"
"FTH1","hsa-miR-616","0"
"TUBA1B","hsa-miR-223","0"
"RPS23","hsa-miR-484","1"
"BSG","hsa-miR-758","0"
"BSG","hsa-miR-572","0"
"RPS5","hsa-miR-596","0"
"LDHB","hsa-miR-559","0"
"RPS4X","hsa-miR-99a","0"
"UBA52","hsa-miR-612","0"
"COL1A2","hsa-let-7d","0"
"COL1A2","hsa-miR-96","0"
"UBA52","hsa-miR-661","0"
"RPS4X","hsa-miR-20b","0"
"FN1","hsa-miR-137","0"
"CTSD","hsa-miR-148a","0"
"TUBA1B","hsa-miR-29c","0"
"TRIM28","hsa-let-7d","0"
"BSG","hsa-miR-223","0"
"RPS16","hsa-miR-320a","1"
"RPS16","hsa-miR-381","0"
